ID_assets,Auditorium,Floor,Room,Type_asset,Id_type,Ordinal_number,Notes,Description,Year,Origin,Status,ATS
A2-01-0101-TB-01,A2,1,101,Desk( 2 seats),TB,1,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,65
A2-01-0101-TB-02,A2,1,101,Desk( 2 seats),TB,2,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,75
A2-01-0101-TB-03,A2,1,101,Desk( 2 seats),TB,3,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,85
A2-01-0101-TB-04,A2,1,101,Desk( 2 seats),TB,4,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100	
A2-01-0101-TB-05,A2,1,101,Desk( 2 seats),TB,5,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,85
A2-01-0101-TB-06,A2,1,101,Desk( 2 seats),TB,6,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0101-TB-07,A2,1,101,Desk( 2 seats),TB,7,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0101-TB-08,A2,1,101,Desk( 2 seats),TB,8,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0101-TB-09,A2,1,101,Desk( 2 seats),TB,9,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0101-TB-10,A2,1,101,Desk( 2 seats),TB,10,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0101-TB-11,A2,1,101,Desk( 2 seats),TB,11,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100	
A2-01-0101-TB-12,A2,1,101,Desk( 2 seats),TB,12,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0101-TB-13,A2,1,101,Desk( 2 seats),TB,13,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0101-TB-14,A2,1,101,Desk( 2 seats),TB,14,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0101-TB-15,A2,1,101,Desk( 2 seats),TB,15,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0101-TB-16,A2,1,101,Desk( 2 seats),TB,16,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0101-TB-17,A2,1,101,Desk( 2 seats),TB,17,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0101-TB-18,A2,1,101,Desk( 2 seats),TB,18,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0101-TB-19,A2,1,101,Desk( 2 seats),TB,19,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0101-TB-20,A2,1,101,Desk( 2 seats),TB,20,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0101-TB-21,A2,1,101,Desk( 2 seats),TB,21,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0101-TB-22,A2,1,101,Desk( 2 seats),TB,22,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0101-TB-23,A2,1,101,Desk( 2 seats),TB,23,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0101-TB-24,A2,1,101,Desk( 2 seats),TB,24,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0101-TB-25,A2,1,101,Desk( 2 seats),TB,25,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0101-BGV-01,A2,1,101,Lecturer's desk,BGV,1,,Bàn làm việc dành cho giảng viên đặt tại khu vực giảng dạy	 dùng để đặt máy tính	 tài liệu và các thiết bị hỗ trợ giảng dạy.,2022,Việt Nam,Đang hoạt động,100
A2-01-0101-GGV-01,A2,1,101,Lecturer's chair,GGV,1,,Ghế dành cho giảng viên sử dụng tại bàn giảng dạy trong lớp học hoặc phòng họp	 thiết kế phù hợp cho việc làm việc và giảng dạy,2021,Trung Quốc,Đang hoạt động,100	
A2-01-0101-BP-01,A2,1,101,Sliding chalkboard,BP,1,,Bảng viết phấn dạng trượt được lắp đặt trong lớp học	 cho phép di chuyển các bảng để mở rộng không gian viết khi giảng dạy.,2020,Việt Nam,Đang hoạt động,100	
